,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4281942,0.10813283,0.49769858,0.03477189,0.1679641,0.020797713,0.074991785,0.03942866,0.030102145,0.007584008,0.018528307
ERR4281943,0.09861398,0.42153528,0.04705291,0.18152134,0.02420536,0.08963644,0.058423813,0.047498036,0.007817224,0.023695502
ERR4281944,0.125916,0.5723002,0.029807962,0.051480558,0.04794366,0.07389248,0.050831564,0.010903882,0.015920067,0.021003546
ERR4281945,0.13453595,0.14004332,0.041891716,0.43430576,0.020691961,0.035516337,0.04971653,0.09301535,0.018140651,0.032142382
ERR4281946,0.019656,0.03351487,0.014425534,0.0077433544,0.30862102,0.44978684,0.019246733,0.0145049095,0.0687416,0.06375924
ERR4281947,0.065133356,0.047525387,0.065184124,0.34344935,0.012502742,0.032794885,0.08130498,0.32284465,0.0102266185,0.019034011
ERR4281948,0.031883094,0.03657052,0.021923319,0.010310647,0.32634953,0.34153602,0.019318439,0.008473206,0.12574024,0.077895045
ERR4281949,0.03770554,0.048478864,0.13115646,0.021808835,0.20117112,0.05198109,0.061331697,0.011049414,0.32624114,0.10907591
ERR4281950,0.09057654,0.49794686,0.061748933,0.18808047,0.013006807,0.03169896,0.055483393,0.03830158,0.007358907,0.015797503
ERR4281951,0.07273012,0.06615944,0.07991492,0.36243552,0.013110587,0.03182369,0.07153228,0.2696322,0.011841373,0.020819908
ERR4281952,0.03457543,0.02871419,0.020267265,0.0112498645,0.32181185,0.33520198,0.019064752,0.009661548,0.12880221,0.09065087
ERR4281953,0.04998956,0.034154493,0.088254556,0.20304784,0.018836135,0.021520672,0.14960869,0.40663806,0.0163761,0.011573792
ERR4281954,0.029300585,0.021525204,0.012946257,0.009724371,0.2953757,0.35862693,0.012465439,0.011221036,0.12992345,0.11889106
ERR4281955,0.055994518,0.037592806,0.100050874,0.21245386,0.015141747,0.023905914,0.09541487,0.43001932,0.014023202,0.015402928
ERR4281956,0.13587488,0.047975305,0.19241342,0.08427357,0.100699164,0.022192892,0.10131039,0.08092643,0.12759104,0.106742956
ERR4281957,0.12526567,0.19730718,0.024175022,0.4516869,0.011989457,0.030752748,0.047789734,0.081976816,0.009743711,0.019312698
ERR4281958,0.10150541,0.4385998,0.037704285,0.19407414,0.020449089,0.09142298,0.045113076,0.044483077,0.0066571035,0.019991118
ERR4281959,0.032126226,0.051162694,0.008680766,0.034489967,0.13087,0.63910615,0.027463028,0.021731772,0.023142168,0.031227114
ERR4281960,0.02921344,0.02658327,0.054911498,0.104092225,0.05586825,0.10240601,0.38368395,0.17860219,0.0134597905,0.051179387
ERR4281961,0.13420327,0.43711665,0.030754358,0.101134606,0.03877367,0.15542488,0.031256936,0.035150267,0.013361339,0.022823961
ERR4281962,0.0700107,0.08821651,0.08023039,0.33206972,0.012440747,0.030093493,0.10899042,0.25086755,0.011387298,0.015693167
ERR4281963,0.092421725,0.4235734,0.11790376,0.0469734,0.066516995,0.092031956,0.07906966,0.020028217,0.014354846,0.04712603
ERR4281964,0.08033259,0.16073626,0.1521343,0.22389874,0.0146647515,0.021358373,0.12976545,0.1847706,0.014441314,0.01789759
ERR4281965,0.060999274,0.05917187,0.105585955,0.27484268,0.011801464,0.021807613,0.099989094,0.33771825,0.014718848,0.013364886
