Unnamed: 0,Env,Contribution,mode
ERR4282548,root:12M,0.115043305,V
ERR4282576,root:12M,0.39275557,V
ERR4282583,root:12M,0.39275557,V
ERR4282603,root:12M,0.115043305,V
ERR4282607,root:12M,0.115043305,V
ERR4282652,root:12M,0.115043305,V
ERR4282661,root:12M,0.115043305,V
ERR4282667,root:12M,0.115043305,V
ERR4282679,root:12M,0.39275557,V
ERR4282694,root:12M,0.115043305,V
ERR4282715,root:12M,0.115043305,V
ERR4282718,root:12M,0.115043305,V
ERR4282730,root:12M,0.39275557,V
ERR4282735,root:12M,0.39275557,V
ERR4282757,root:12M,0.3927555,V
ERR4282777,root:12M,0.115043305,V
ERR4282782,root:12M,0.115043305,V
ERR4282786,root:12M,0.115043305,V
ERR4282794,root:12M,0.115043305,V
ERR4282807,root:12M,0.39275783,V
ERR4282822,root:12M,0.39272735,V
ERR4282828,root:12M,0.115043305,V
ERR4282833,root:12M,0.115043305,V
ERR4282837,root:12M,0.115043305,V
ERR4282844,root:12M,0.115043305,V
ERR4282863,root:12M,0.115043305,V
ERR4282873,root:12M,0.115043305,V
ERR4282879,root:12M,0.115043305,V
ERR4282884,root:12M,0.115043305,V
ERR4282888,root:12M,0.115043305,V
ERR4282891,root:12M,0.115043305,V
ERR4282902,root:12M,0.115043305,V
ERR4282905,root:12M,0.115043305,V
ERR4282913,root:12M,0.115043305,V
ERR4282920,root:12M,0.115043305,V
ERR4282929,root:12M,0.115043305,V
ERR4282931,root:12M,0.39277324,V
ERR4282943,root:12M,0.028054781,V
ERR4282947,root:12M,0.115043305,V
ERR4282953,root:12M,0.115043305,V
ERR4282961,root:12M,0.115043305,V
ERR4282966,root:12M,0.39275557,V
ERR4282970,root:12M,0.115043305,V
ERR4282977,root:12M,0.115043305,V
ERR4282982,root:12M,0.39282066,V
ERR4282986,root:12M,0.115043305,V
ERR4282997,root:12M,0.115043305,V
ERR4283001,root:12M,0.115043305,V
ERR4283007,root:12M,0.115043305,V
ERR4283019,root:12M,0.115043305,V
ERR4283025,root:12M,0.39275557,V
ERR4283032,root:12M,0.3927656,V
ERR4283036,root:12M,0.115043305,V
ERR4283043,root:12M,0.115043305,V
ERR4283048,root:12M,0.115043305,V
ERR4281051,root:3Y,0.18056078,V
ERR4281134,root:3Y,0.18961473,V
ERR4281155,root:3Y,0.1896077,V
ERR4281166,root:3Y,0.18965873,V
ERR4281381,root:3Y,0.18961991,V
ERR4281408,root:3Y,0.18962643,V
ERR4281542,root:3Y,0.1896522,V
ERR4281612,root:3Y,0.18949197,V
ERR4281664,root:3Y,0.06697658,V
ERR4281710,root:3Y,0.18965523,V
ERR4281718,root:3Y,0.17289424,V
ERR4281735,root:3Y,0.18908326,V
ERR4281741,root:3Y,0.05672982,V
ERR4281747,root:3Y,0.18961598,V
ERR4281760,root:3Y,0.18948166,V
ERR4281766,root:3Y,0.1879386,V
ERR4281772,root:3Y,0.18958178,V
ERR4281778,root:3Y,0.005678484,V
ERR4281786,root:3Y,0.18929039,V
ERR4281790,root:3Y,0.054628495,V
ERR4281800,root:3Y,0.05553599,V
ERR4281808,root:3Y,0.18964748,V
ERR4281810,root:3Y,0.18206912,V
ERR4281814,root:3Y,0.18962322,V
ERR4281823,root:3Y,0.1858881,V
ERR4281833,root:3Y,0.028117072,V
ERR4281835,root:3Y,0.18965335,V
ERR4281839,root:3Y,0.1896567,V
ERR4281847,root:3Y,0.18958189,V
ERR4281854,root:3Y,0.18964903,V
ERR4281873,root:3Y,0.18873098,V
ERR4281879,root:3Y,0.18915717,V
ERR4281885,root:3Y,0.18781067,V
ERR4281892,root:3Y,0.054745916,V
ERR4281902,root:3Y,0.1132495,V
